1100	Cần làm thuốc tai mỗi ngày
1102	Cắt chỉ lúc 9h ngày 
1103	Thực hiện theo bảng hướng dẫn để tránh trào ngược dịch vị.
1104	Giữ tai khô sạch,săn sóc tai mỗi ngày.
1105	Cần chăm sóc rửa mũi mỗi ngày.
1106	Không vận động mạnh.
1107	Không nói chuyện trong thời gian điều trị.
1108	Súc họng bằng nước muối nhiều lần/ ngày (pha 5gr muối/ 1 lít nước).
1109	Cần chăm sóc vết mổ mỗi ngày.
1110	Cần đến chăm sóc vết mổ mỗi ngày.
1112	Không hút thuốc, không uống rượu.
1113	Cần tái khám theo hẹn
1114	Cần vệ sinh răng miệng tốt.
1115	Không hỉ mũi. Nên há miệng to khi hắc xì.
1116	Kiêng ăn chua, cay, nóng, cứng, mặn trong 10 ngày sau phẫu thuật.
1117	Tập thể dục mỗi ngày.
1118	Giữ mũi khô sạch, thông thoáng.
1119	Không đeo kính, không vận động mạnh.
1120	Tái khám nhớ đem theo film đã chụp.
1121	Chụp CT SCAN xoang mặt
1122	Cần mổ chỉnh vách ngăn
1123	Cần cắt Amiđan
1124	Tránh nắng, tránh khói bụi, tránh tiếp xúc lạnh
1125	Chụp phim Schuller
1126	Cần nạo VA
1127	Cần mổ nội soi mũi xoang
1129	Kiêng ăn các chất gây dị ứng
1132	Giữ ấm vùng ngực, cổ
1133	Nắm tư thế co chân, hạn chế ngồi.
1134	Cử mỡ, béo, chua, cay.
1135	Tránh ngủ máy lạnh
1136	Không la hét, chạy nhảy
1137	Ăn nhiều khoai lang, sữa chua, bắp, rau xanh... uống sữa đậu nành
1138	Massage ngực mỗi ngày theo hướng dẫn
1139	Bôi thuốc chống sẹo
1140	Không cho nước vào tai
1141	Nghỉ ngơi, bồi dưỡng tốt
